"","lon","lat"
"108863",-73.9199819391781,40.8095854513494
"22322",-73.920296059203,40.8097174156862
"23303",-73.9205199162912,40.809810890839
"23651",-73.9205251942915,40.8114412601763
"23977",-73.9204359123604,40.8105793555021
"21683",-73.9210343077733,40.8116502089484
"21960",-73.9210343077733,40.8116502089484
"108089",-73.9210343077733,40.8116502089484
"108142",-73.9210343077733,40.8116502089484
"153805",-73.9210343077733,40.8116502089484
"162971",-73.9210343077733,40.8116502089484
"108612",-73.9210687473078,40.8100253563445
"107995",-73.918201533957,40.8121148368243
"108217",-73.9214153444505,40.8101902765325
"108218",-73.9214153444505,40.8101902765325
"108219",-73.9214153444505,40.8101902765325
"23833",-73.9201188528299,40.8128929376756
"107969",-73.9201188528299,40.8128929376756
"108525",-73.9201188528299,40.8128929376756
"108556",-73.9201188528299,40.8128929376756
"108580",-73.9201188528299,40.8128929376756
"21568",-73.9214865988679,40.8110329551565
"21740",-73.9214865988679,40.8110329551565
"21886",-73.9214865988679,40.8110329551565
"22110",-73.9214865988679,40.8110329551565
"22720",-73.9214865988679,40.8110329551565
"22829",-73.9214865988679,40.8110329551565
"22832",-73.9214865988679,40.8110329551565
"23020",-73.9214865988679,40.8110329551565
"23082",-73.9214865988679,40.8110329551565
"23084",-73.9214865988679,40.8110329551565
"23085",-73.9214865988679,40.8110329551565
"23456",-73.9214865988679,40.8110329551565
"23543",-73.9214865988679,40.8110329551565
"23549",-73.9214865988679,40.8110329551565
"107782",-73.9214865988679,40.8110329551565
"108875",-73.9208317008432,40.8119080739517
"21639",-73.9205856240984,40.8122647186721
"21640",-73.9205856240984,40.8122647186721
"21642",-73.9205856240984,40.8122647186721
"22294",-73.9205856240984,40.8122647186721
"22509",-73.9205856240984,40.8122647186721
"22510",-73.9205856240984,40.8122647186721
"23089",-73.9205856240984,40.8122647186721
"23091",-73.9205856240984,40.8122647186721
"23877",-73.9205856240984,40.8122647186721
"108514",-73.9205856240984,40.8122647186721
"22189",-73.9207398876502,40.813167838516
"21872",-73.9212933269434,40.8125643787292
"22194",-73.9212933269434,40.8125643787292
