"","lon","lat"
"5205",-73.9887857515832,40.7535157861754
"5207",-73.9887857515832,40.7535157861754
"99977",-73.9887857515832,40.7535157861754
"100590",-73.9887857515832,40.7535157861754
"100594",-73.9887857515832,40.7535157861754
"165795",-73.9887857515832,40.7535157861754
"100131",-73.9898287885747,40.7539413186613
"5625",-73.9896122369332,40.7538726806827
"5626",-73.9896122369332,40.7538726806827
"100444",-73.9905940414036,40.7534747768312
"100534",-73.9905940414036,40.7534747768312
"4844",-73.9891648198722,40.752983341651
"4699",-73.989302003583,40.752799456454
"6263",-73.9893200488154,40.7528076923683
"99950",-73.9893200488154,40.7528076923683
"4951",-73.9896918893908,40.752280734879
"100512",-73.9896918893908,40.752280734879
"100692",-73.9901646774226,40.7524701637443
"6270",-73.9903557247527,40.7541636884171
"4859",-73.9897276046712,40.7547290517792
"99848",-73.9897709151228,40.7547455241083
"5351",-73.989890017934,40.7547976847933
"5935",-73.989890017934,40.7547976847933
"5936",-73.989890017934,40.7547976847933
"99644",-73.989890017934,40.7547976847933
"100362",-73.989890017934,40.7547976847933
"5950",-73.9899838599331,40.7548169062118
"9466",-73.9424847281279,40.7956501741988
"9467",-73.9424847281279,40.7956501741988
"8681",-73.9428782406863,40.7958315220232
"8727",-73.9428782406863,40.7958315220232
"8728",-73.9428782406863,40.7958315220232
"8854",-73.9428782406863,40.7958315220232
"9067",-73.9428782406863,40.7958315220232
"9210",-73.9428782406863,40.7958315220232
"9211",-73.9428782406863,40.7958315220232
"9405",-73.9428782406863,40.7958315220232
"9452",-73.9428782406863,40.7958315220232
"9541",-73.9428782406863,40.7958315220232
"9900",-73.9428782406863,40.7958315220232
"10069",-73.9428782406863,40.7958315220232
"10073",-73.9428782406863,40.7958315220232
"10132",-73.9428782406863,40.7958315220232
"10186",-73.9428782406863,40.7958315220232
"10188",-73.9428782406863,40.7958315220232
"10189",-73.9428782406863,40.7958315220232
"10312",-73.9428782406863,40.7958315220232
"10382",-73.9428782406863,40.7958315220232
"10383",-73.9428782406863,40.7958315220232
"10476",-73.9428782406863,40.7958315220232
