"","lon","lat"
"8770",-73.9421215698603,40.7979445858043
"10416",-73.9421215698603,40.7979445858043
"160438",-73.9421215698603,40.7979445858043
"102408",-73.9427967373687,40.7982139062214
"9356",-73.9427967373687,40.7982139062214
"102082",-73.9427967373687,40.7982139062214
"9898",-73.9427967373687,40.7982139062214
"8967",-73.9424108405108,40.7975632134264
"8856",-73.9426024897507,40.7972998150671
"8726",-73.9426024897507,40.7972998150671
"8667",-73.9426024897507,40.7972998150671
"10654",-73.9426024897507,40.7972998150671
"10280",-73.9424108405108,40.7975632134264
"9070",-73.9426097510558,40.7972559030232
"102252",-73.9426024897507,40.7972998150671
"8954",-73.9426097510558,40.7972559030232
"9834",-73.9426097510558,40.7972559030232
"9856",-73.9426097510558,40.7972559030232
"102752",-73.9426097510558,40.7972559030232
"8463",-73.9427941657777,40.7970034796465
"9089",-73.9427941351152,40.797039161106
"10616",-73.9431593770032,40.7965013749246
"9601",-73.9431738120051,40.7965151056872
"9674",-73.9427941351152,40.797039161106
"9667",-73.9440319726655,40.7982035336877
"162486",-73.9440319726655,40.7982035336877
"9949",-73.9440319726655,40.7982035336877
"154487",-73.9479323672445,40.8170835736146
"8683",-73.9437426830046,40.7986151020921
"8655",-73.9445020430013,40.7975560050628
"9200",-73.9445020430013,40.7975560050628
"166712",-73.9443465570567,40.7977727636485
"8696",-73.9443465570567,40.7977727636485
"10080",-73.9443465570567,40.7977727636485
"102159",-73.9443465570567,40.7977727636485
"9365",-73.9446525492709,40.7989833361159
"102726",-73.9446525492709,40.7989833361159
"9561",-73.9446525492709,40.7989833361159
"157681",-73.9446525492709,40.7989833361159
"8896",-73.9446525492709,40.7989833361159
"12623",-73.9480082102354,40.817116544477
"13530",-73.9480082102354,40.817116544477
"13447",-73.9480082102354,40.817116544477
"12885",-73.9480082102354,40.817116544477
"13011",-73.9480082102354,40.817116544477
"103703",-73.9480082102354,40.817116544477
"13468",-73.9480082102354,40.817116544477
"103563",-73.943236439725,40.799309270085
"12285",-73.9440271608127,40.7996307898985
"12176",-73.9419190863356,40.7982024884237
