"","lon","lat"
"156764",-73.9185895279321,40.8138799679485
"23206",-73.9185895279321,40.8138799679485
"108443",-73.9187437882475,40.81476662191
"22030",-73.9169564552326,40.8140132946511
"22241",-73.9157178276261,40.8136144111547
"24246",-73.91653658829,40.8146525116664
"21884",-73.918258942125,40.8153756073632
"107914",-73.9177353682713,40.8151584019955
"107915",-73.9177353682713,40.8151584019955
"21670",-73.9164708861762,40.8123112160119
"172991",-73.9164708861762,40.8123112160119
"23637",-73.9160907428252,40.8129669286835
"21684",-73.9191997410658,40.8141438905095
"22857",-73.9159649037178,40.8153520004114
"22145",-73.9158967426439,40.8121131785764
"107749",-73.9169307163007,40.8114798971879
"108746",-73.9169307163007,40.8114798971879
"108728",-73.9164198662377,40.815541716886
"24109",-73.9163909783378,40.8155307170563
"108755",-73.9203479811216,40.8146277605064
"21674",-73.9203479811216,40.8146277605064
"22556",-73.9181880791666,40.8113051339973
"22856",-73.9176872626548,40.8160805940027
"108786",-73.9176872626548,40.8160805940027
"22234",-73.9176872626548,40.8160805940027
"23842",-73.9176872626548,40.8160805940027
"21587",-73.9176872626548,40.8160805940027
"164432",-73.9176872626548,40.8160805940027
"107784",-73.9176872626548,40.8160805940027
"157519",-73.9176872626548,40.8160805940027
"21751",-73.9176872626548,40.8160805940027
"108165",-73.9176872626548,40.8160805940027
"21693",-73.9176872626548,40.8160805940027
"23821",-73.9176872626548,40.8160805940027
"21658",-73.9176872626548,40.8160805940027
"23122",-73.9176004238039,40.8103522964769
"21827",-73.9180493215412,40.8095758596122
"21690",-73.9180493215412,40.8095758596122
"108446",-73.9212119467753,40.8141727303295
"21987",-73.9212119467753,40.8141727303295
"22236",-73.9213366775455,40.8125644083149
"23193",-73.9215366893643,40.8145078078343
"22035",-73.9215366893643,40.8145078078343
"158547",-73.9215366893643,40.8145078078343
"159239",-73.9217062678408,40.8146918194597
"107793",-73.9215366893643,40.8145078078343
"24258",-73.9213404380993,40.8154957738245
"108267",-73.9217170606384,40.8147302528897
"24140",-73.9143121030109,40.8139399969269
"21886",-73.9214865988679,40.8110329551565
