"","lon","lat"
"124756",-73.9111671924187,40.6638133713397
"125155",-73.9111671924187,40.6638133713397
"51180",-73.9111671924187,40.6638133713397
"52832",-73.912122571287,40.6636713765872
"124861",-73.912122571287,40.6636713765872
"125551",-73.912122571287,40.6636713765872
"53113",-73.9129115446456,40.6667461295593
"53149",-73.9129115446456,40.6667461295593
"125006",-73.9133469698184,40.664539655828
"125908",-73.9109197286324,40.6628799547433
"51548",-73.9109485202068,40.6629129143984
"54515",-73.9109376519008,40.6629540776877
"53005",-73.9109197286324,40.6628799547433
"55885",-73.9134724448546,40.6650667479487
"54511",-73.9134724448546,40.6650667479487
"51274",-73.9102442573815,40.6639498939174
"125198",-73.9100578892144,40.6631592516972
"53709",-73.9100184401121,40.6630110027148
"125312",-73.9100005178498,40.6629368796277
"55174",-73.9098841115365,40.6663924661384
"124710",-73.9098841115365,40.6663924661384
"169920",-73.9098841115365,40.6663924661384
"53574",-73.9098841115365,40.6663924661384
"125770",-73.9098841115365,40.6663924661384
"125124",-73.9123505512675,40.6684749140632
"125129",-73.9123505512675,40.6684749140632
"51141",-73.9100921517295,40.6671556774844
"52365",-73.9100921517295,40.6671556774844
"53538",-73.9100921517295,40.6671556774844
"126075",-73.9103000785638,40.668006721209
"52591",-73.9096977073706,40.6656265265501
"55016",-73.9096977073706,40.6656265265501
"51929",-73.9096977073706,40.6656265265501
"126374",-73.9096977073706,40.6656265265501
"51554",-73.9096977073706,40.6656265265501
"124380",-73.9096977073706,40.6656265265501
"53860",-73.9098570484564,40.662412514245
"125283",-73.9098570484564,40.662412514245
"125994",-73.9098570484564,40.662412514245
"125284",-73.9098570484564,40.662412514245
"55515",-73.9098570484564,40.662412514245
"54565",-73.9094825195053,40.6648248818066
"54860",-73.9094825195053,40.6648248818066
"124581",-73.9094825195053,40.6648248818066
"52255",-73.9091456098606,40.6634165441229
"54748",-73.9091456098606,40.6634165441229
"154248",-73.9093068856054,40.6640973768297
"52599",-73.9094825195053,40.6648248818066
"53100",-73.9094825195053,40.6648248818066
"52664",-73.9093068856054,40.6640973768297
