"","lon","lat"
"93651",-74.0793896203656,40.6188853745769
"163882",-74.0794966199893,40.6179932427756
"93774",-74.0788800728861,40.6205326011606
"94297",-74.0780636673272,40.6216310754888
"155757",-74.0825056067652,40.6219573485041
"94090",-74.0825056067652,40.6219573485041
"94818",-74.083039034419,40.6221957613814
"93186",-74.0819640212388,40.6209394178519
"151831",-74.080519951531,40.6212753030801
"94026",-74.0825056067652,40.6219573485041
"151332",-74.0807251970805,40.6212092841166
"93652",-74.0807792100487,40.62119277742
"93448",-74.080102254806,40.6214073449265
"94929",-74.0807792100487,40.62119277742
"93878",-74.0827705916436,40.6235875646278
"94755",-74.0827812283947,40.6234503173669
"172530",-74.0827705916436,40.6235875646278
"93294",-74.0807792100487,40.62119277742
"94802",-74.0807792100487,40.62119277742
"95101",-74.080102254806,40.6214073449265
"93976",-74.0827812283947,40.6234503173669
"94605",-74.080102254806,40.6214073449265
"94514",-74.082613911584,40.6221494061974
"93664",-74.0826283477431,40.6221713541619
"151342",-74.0827812283947,40.6234503173669
"93544",-74.0827705916436,40.6235875646278
"160432",-74.0827705916436,40.6235875646278
"94423",-74.0828741864966,40.6228848232108
"93292",-74.0817407175992,40.6239066973561
"165977",-74.0831965171421,40.6213804441316
"93558",-74.0828741864966,40.6228848232108
"95297",-74.0840344915765,40.623177673688
"93717",-74.0818811751402,40.6238791494852
"93449",-74.0818811751402,40.6238791494852
"151856",-74.0833363382011,40.6208478530644
"93394",-74.0820144110298,40.6238378826349
"93716",-74.0818811751402,40.6238791494852
"93614",-74.0819243863428,40.6238653947413
"94034",-74.0820144110298,40.6238378826349
"93591",-74.0819675975277,40.6238516399811
"151924",-74.0811028739923,40.6177890060266
"93815",-74.0815282835439,40.62399193675
"151923",-74.0811028739923,40.6177890060266
"151300",-74.0816074814029,40.623947963889
"152035",-74.0811028739923,40.6177890060266
"155974",-74.0816074814029,40.623947963889
"93990",-74.0815282835439,40.62399193675
"150956",-74.0814418607937,40.6240194459234
"168162",-74.0785294285729,40.6225447741206
"93164",-74.0812654127316,40.6240744666216
