"","lon","lat"
"151045",-74.0816103432427,40.6203962004924
"93326",-74.0814976678632,40.6195700977263
"150941",-74.0814976678632,40.6195700977263
"150942",-74.0814976678632,40.6195700977263
"150943",-74.0814976678632,40.6195700977263
"93508",-74.117043044804,40.6338178126737
"94551",-74.117043044804,40.6338178126737
"150979",-74.117043044804,40.6338178126737
"93182",-74.1175493702157,40.6369545909124
"93225",-74.1175493702157,40.6369545909124
"93226",-74.1175493702157,40.6369545909124
"93227",-74.1175493702157,40.6369545909124
"93262",-74.1175493702157,40.6369545909124
"94021",-74.1175493702157,40.6369545909124
"94382",-74.1175493702157,40.6369545909124
"94402",-74.1175493702157,40.6369545909124
"94403",-74.1175493702157,40.6369545909124
"94419",-74.1175493702157,40.6369545909124
"94529",-74.1175493702157,40.6369545909124
"94530",-74.1175493702157,40.6369545909124
"94743",-74.1175493702157,40.6369545909124
"94744",-74.1175493702157,40.6369545909124
"94784",-74.1175493702157,40.6369545909124
"95363",-74.1175493702157,40.6369545909124
"150854",-74.1175493702157,40.6369545909124
"150886",-74.1175493702157,40.6369545909124
"150887",-74.1175493702157,40.6369545909124
"151052",-74.1175493702157,40.6369545909124
"151159",-74.1175493702157,40.6369545909124
"151170",-74.1175493702157,40.6369545909124
"151171",-74.1175493702157,40.6369545909124
"151177",-74.1175493702157,40.6369545909124
"151208",-74.1175493702157,40.6369545909124
"151229",-74.1175493702157,40.6369545909124
"151348",-74.1175493702157,40.6369545909124
"151357",-74.1175493702157,40.6369545909124
"151416",-74.1175493702157,40.6369545909124
"151418",-74.1175493702157,40.6369545909124
"151424",-74.1175493702157,40.6369545909124
"151425",-74.1175493702157,40.6369545909124
"151537",-74.1175493702157,40.6369545909124
"151789",-74.1175493702157,40.6369545909124
"151790",-74.1175493702157,40.6369545909124
"151913",-74.1175493702157,40.6369545909124
"151914",-74.1175493702157,40.6369545909124
"151915",-74.1175493702157,40.6369545909124
"151959",-74.1175493702157,40.6369545909124
"151960",-74.1175493702157,40.6369545909124
"151961",-74.1175493702157,40.6369545909124
"151981",-74.1175493702157,40.6369545909124
