"","lon","lat"
"75803",-73.7520209299775,40.6027995604513
"74617",-73.7549798872417,40.6031380285496
"75079",-73.7549798872417,40.6031380285496
"164474",-73.7549798872417,40.6031380285496
"164519",-73.7549798872417,40.6031380285496
"166193",-73.7549798872417,40.6031380285496
"74059",-73.7531760485793,40.6030353556674
"74060",-73.7531760485793,40.6030353556674
"75286",-73.7531544515276,40.6030325644754
"138459",-73.7531544515276,40.6030325644754
"138473",-73.7531544515276,40.6030325644754
"157412",-73.7531760485793,40.6030353556674
"74323",-73.7530959796911,40.6032630026976
"155915",-73.7530959796911,40.6032630026976
"139125",-73.7531139654528,40.6032685309501
"74888",-73.7543098050801,40.6022280667629
"75015",-73.7543098050801,40.6022280667629
"75287",-73.7543098050801,40.6022280667629
"166335",-73.7543098050801,40.6022280667629
"73501",-73.7516472305902,40.6035453411705
"73814",-73.7516472305902,40.6035453411705
"75867",-73.7516472305902,40.6035453411705
"76188",-73.7521216143035,40.6038098668018
"138475",-73.7521216143035,40.6038098668018
"138476",-73.7521216143035,40.6038098668018
"138477",-73.7521216143035,40.6038098668018
"158098",-73.7521216143035,40.6038098668018
"165688",-73.7521216143035,40.6038098668018
"165691",-73.7521216143035,40.6038098668018
"171456",-73.7521216143035,40.6038098668018
"171457",-73.7521216143035,40.6038098668018
"73776",-73.7517478506297,40.6036031995139
"73824",-73.7517478506297,40.6036031995139
"74020",-73.7517478506297,40.6036031995139
"74618",-73.7517478506297,40.6036031995139
"75444",-73.7517478506297,40.6036031995139
"75522",-73.7517478506297,40.6036031995139
"76215",-73.7517478506297,40.6036031995139
"76216",-73.7517478506297,40.6036031995139
"76217",-73.7517478506297,40.6036031995139
"137661",-73.7517478506297,40.6036031995139
"138389",-73.7517478506297,40.6036031995139
"138938",-73.7517478506297,40.6036031995139
"138945",-73.7517478506297,40.6036031995139
"138954",-73.7517478506297,40.6036031995139
"160479",-73.7517478506297,40.6036031995139
"171577",-73.7517478506297,40.6036031995139
"138372",-73.7557821296789,40.6043501959743
"164260",-73.751050440099,40.6032723140614
"75627",-73.7520683162004,40.6026459534588
